sale_date,branch_id,product_id,quantity_sold,price,promo,weekday,month,revenue,cost_price,total_cost,profit,lag_1,lag_7,is_weekend
2023-02-08,store_1,item_1,73,21.3,0,2,2,1554.9,14.91,1088.43,466.47,55,54,0
2023-02-09,store_1,item_1,64,21.3,0,3,2,1363.2,14.91,954.24,408.96,73,96,0
2023-02-10,store_1,item_1,52,21.3,0,4,2,1107.6,14.91,775.32,332.28,64,66,0
2023-02-11,store_1,item_1,45,21.3,0,5,2,958.5,14.91,670.95,287.55,52,44,1
2023-02-13,store_1,item_1,53,21.3,0,0,2,1128.9,14.91,790.23,338.67,45,41,0
2023-02-14,store_1,item_1,65,21.3,0,1,2,1384.5,14.91,969.15,415.35,53,45,0
2023-02-15,store_1,item_1,68,21.3,0,2,2,1448.4,14.91,1013.88,434.52,65,55,0
2023-02-16,store_1,item_1,58,21.3,0,3,2,1235.4,14.91,864.78,370.62,68,73,0
2023-02-18,store_1,item_1,45,21.3,0,5,2,958.5,14.91,670.95,287.55,58,64,1
2023-02-19,store_1,item_1,42,21.3,0,6,2,894.6,14.91,626.22,268.38,45,52,1
2023-02-20,store_1,item_1,54,21.3,0,0,2,1150.2,14.91,805.14,345.06,42,45,0
2023-02-21,store_1,item_1,65,21.3,0,1,2,1384.5,14.91,969.15,415.35,54,53,0
2023-02-23,store_1,item_1,64,21.3,0,3,2,1363.2,14.91,954.24,408.96,65,65,0
2023-02-24,store_1,item_1,49,21.3,0,4,2,1043.7,14.91,730.59,313.11,64,68,0
2023-02-25,store_1,item_1,71,17.04,1,5,2,1209.84,11.93,847.03,362.81,49,58,1
2023-02-26,store_1,item_1,44,21.3,0,6,2,937.2,14.91,656.04,281.16,71,45,1
2023-02-28,store_1,item_1,66,21.3,0,1,2,1405.8,14.91,984.06,421.74,44,42,0
2023-03-01,store_1,item_1,69,21.3,0,2,3,1469.7,14.91,1028.79,440.91,66,54,0
2023-03-02,store_1,item_1,68,21.3,0,3,3,1448.4,14.91,1013.88,434.52,69,65,0
2023-03-03,store_1,item_1,50,21.3,0,4,3,1065.0,14.91,745.5,319.5,68,64,0
2023-03-05,store_1,item_1,48,21.3,0,6,3,1022.4,14.91,715.68,306.72,50,49,1
2023-03-06,store_1,item_1,62,21.3,0,0,3,1320.6,14.91,924.42,396.18,48,71,0
2023-03-07,store_1,item_1,64,21.3,0,1,3,1363.2,14.91,954.24,408.96,62,44,0
2023-03-08,store_1,item_1,62,21.3,0,2,3,1320.6,14.91,924.42,396.18,64,66,0
2023-03-10,store_1,item_1,56,21.3,0,4,3,1192.8,14.91,834.96,357.84,62,69,0
2023-03-11,store_1,item_1,51,21.3,0,5,3,1086.3,14.91,760.41,325.89,56,68,1
2023-03-12,store_1,item_1,49,21.3,0,6,3,1043.7,14.91,730.59,313.11,51,50,1
2023-03-13,store_1,item_1,58,21.3,0,0,3,1235.4,14.91,864.78,370.62,49,48,0
2023-03-15,store_1,item_1,102,17.04,1,2,3,1738.08,11.93,1216.86,521.22,58,62,0
2023-03-16,store_1,item_1,64,21.3,0,3,3,1363.2,14.91,954.24,408.96,102,64,0
2023-03-17,store_1,item_1,55,21.3,0,4,3,1171.5,14.91,820.05,351.45,64,62,0
2023-03-18,store_1,item_1,50,21.3,0,5,3,1065.0,14.91,745.5,319.5,55,56,1
2023-03-20,store_1,item_1,90,17.04,1,0,3,1533.6,11.93,1073.7,459.9,50,51,0
2023-03-21,store_1,item_1,62,21.3,0,1,3,1320.6,14.91,924.42,396.18,90,49,0
2023-03-22,store_1,item_1,70,21.3,0,2,3,1491.0,14.91,1043.7,447.3,62,58,0
2023-03-23,store_1,item_1,67,21.3,0,3,3,1427.1,14.91,998.97,428.13,70,102,0
2023-03-25,store_1,item_1,49,21.3,0,5,3,1043.7,14.91,730.59,313.11,67,64,1
2023-03-26,store_1,item_1,52,21.3,0,6,3,1107.6,14.91,775.32,332.28,49,55,1
2023-03-27,store_1,item_1,59,21.3,0,0,3,1256.7,14.91,879.69,377.01,52,50,0
2023-03-28,store_1,item_1,70,21.3,0,1,3,1491.0,14.91,1043.7,447.3,59,90,0
2023-03-30,store_1,item_1,65,21.3,0,3,3,1384.5,14.91,969.15,415.35,70,62,0
2023-03-31,store_1,item_1,57,21.3,0,4,3,1214.1,14.91,849.87,364.23,65,70,0
2023-04-01,store_1,item_1,49,21.3,0,5,4,1043.7,14.91,730.59,313.11,57,67,1
2023-04-02,store_1,item_1,49,21.3,0,6,4,1043.7,14.91,730.59,313.11,49,49,1
2023-04-04,store_1,item_1,72,21.3,0,1,4,1533.6,14.91,1073.52,460.08,49,52,0
2023-04-05,store_1,item_1,102,17.04,1,2,4,1738.08,11.93,1216.86,521.22,72,59,0
2023-04-06,store_1,item_1,69,21.3,0,3,4,1469.7,14.91,1028.79,440.91,102,70,0
2023-04-07,store_1,item_1,54,21.3,0,4,4,1150.2,14.91,805.14,345.06,69,65,0
2023-04-09,store_1,item_1,55,21.3,0,6,4,1171.5,14.91,820.05,351.45,54,57,1
2023-04-10,store_1,item_1,56,21.3,0,0,4,1192.8,14.91,834.96,357.84,55,49,0
2023-04-11,store_1,item_1,68,21.3,0,1,4,1448.4,14.91,1013.88,434.52,56,49,0
2023-04-12,store_1,item_1,107,17.04,1,2,4,1823.28,11.93,1276.51,546.77,68,72,0
2023-04-14,store_1,item_1,88,17.04,1,4,4,1499.52,11.93,1049.84,449.68,107,102,0
2023-04-15,store_1,item_1,46,21.3,0,5,4,979.8,14.91,685.86,293.94,88,69,1
2023-04-16,store_1,item_1,49,21.3,0,6,4,1043.7,14.91,730.59,313.11,46,54,1
2023-04-17,store_1,item_1,91,17.04,1,0,4,1550.64,11.93,1085.63,465.01,49,55,0
2023-04-19,store_1,item_1,176,21.3,0,2,4,3748.8,14.91,2624.16,1124.64,91,56,0
2023-04-20,store_1,item_1,66,21.3,0,3,4,1405.8,14.91,984.06,421.74,176,68,0
2023-04-21,store_1,item_1,54,21.3,0,4,4,1150.2,14.91,805.14,345.06,66,107,0
2023-04-22,store_1,item_1,48,21.3,0,5,4,1022.4,14.91,715.68,306.72,54,88,1
2023-04-24,store_1,item_1,55,21.3,0,0,4,1171.5,14.91,820.05,351.45,48,46,0
2023-04-25,store_1,item_1,203,21.3,0,1,4,4323.9,14.91,3026.73,1297.17,55,49,0
2023-04-26,store_1,item_1,76,21.3,0,2,4,1618.8,14.91,1133.16,485.64,203,91,0
2023-04-27,store_1,item_1,65,21.3,0,3,4,1384.5,14.91,969.15,415.35,76,176,0
2023-04-29,store_1,item_1,50,21.3,0,5,4,1065.0,14.91,745.5,319.5,65,66,1
2023-04-30,store_1,item_1,46,21.3,0,6,4,979.8,14.91,685.86,293.94,50,54,1
2023-05-01,store_1,item_1,94,17.04,1,0,5,1601.76,11.93,1121.42,480.34,46,48,0
2023-05-02,store_1,item_1,69,21.3,0,1,5,1469.7,14.91,1028.79,440.91,94,55,0
2023-05-04,store_1,item_1,62,21.3,0,3,5,1320.6,14.91,924.42,396.18,69,203,0
2023-05-05,store_1,item_1,59,21.3,0,4,5,1256.7,14.91,879.69,377.01,62,76,0
2023-05-06,store_1,item_1,73,17.04,1,5,5,1243.92,11.93,870.89,373.03,59,65,1
2023-05-07,store_1,item_1,51,21.3,0,6,5,1086.3,14.91,760.41,325.89,73,50,1
2023-05-09,store_1,item_1,19,21.3,0,1,5,404.7,14.91,283.29,121.41,51,46,0
2023-05-10,store_1,item_1,73,21.3,0,2,5,1554.9,14.91,1088.43,466.47,19,94,0
2023-05-11,store_1,item_1,63,21.3,0,3,5,1341.9,14.91,939.33,402.57,73,69,0
2023-05-12,store_1,item_1,47,21.3,0,4,5,1001.1,14.91,700.77,300.33,63,62,0
2023-05-14,store_1,item_1,48,21.3,0,6,5,1022.4,14.91,715.68,306.72,47,59,1
2023-05-15,store_1,item_1,58,21.3,0,0,5,1235.4,14.91,864.78,370.62,48,73,0
2023-05-16,store_1,item_1,66,21.3,0,1,5,1405.8,14.91,984.06,421.74,58,51,0
2023-05-17,store_1,item_1,28,21.3,0,2,5,596.4,14.91,417.48,178.92,66,19,0
2023-05-19,store_1,item_1,52,21.3,0,4,5,1107.6,14.91,775.32,332.28,28,73,0
2023-05-20,store_1,item_1,63,17.04,1,5,5,1073.52,11.93,751.59,321.93,52,63,1
2023-05-21,store_1,item_1,50,21.3,0,6,5,1065.0,14.91,745.5,319.5,63,47,1
2023-05-22,store_1,item_1,56,21.3,0,0,5,1192.8,14.91,834.96,357.84,50,48,0
2023-05-24,store_1,item_1,64,21.3,0,2,5,1363.2,14.91,954.24,408.96,56,58,0
2023-05-25,store_1,item_1,64,21.3,0,3,5,1363.2,14.91,954.24,408.96,64,66,0
2023-05-26,store_1,item_1,54,21.3,0,4,5,1150.2,14.91,805.14,345.06,64,28,0
2023-05-27,store_1,item_1,46,21.3,0,5,5,979.8,14.91,685.86,293.94,54,52,1
2023-05-29,store_1,item_1,56,21.3,0,0,5,1192.8,14.91,834.96,357.84,46,63,0
2023-05-30,store_1,item_1,61,21.3,0,1,5,1299.3,14.91,909.51,389.79,56,50,0
2023-05-31,store_1,item_1,67,21.3,0,2,5,1427.1,14.91,998.97,428.13,61,56,0
2023-06-01,store_1,item_1,64,21.3,0,3,6,1363.2,14.91,954.24,408.96,67,64,0
2023-06-03,store_1,item_1,41,21.3,0,5,6,873.3,14.91,611.31,261.99,64,64,1
2023-06-04,store_1,item_1,69,17.04,1,6,6,1175.76,11.93,823.17,352.59,41,54,1
2023-06-05,store_1,item_1,49,21.3,0,0,6,1043.7,14.91,730.59,313.11,69,46,0
2023-06-06,store_1,item_1,63,21.3,0,1,6,1341.9,14.91,939.33,402.57,49,56,0
2023-06-08,store_1,item_1,52,21.3,0,3,6,1107.6,14.91,775.32,332.28,63,61,0
2023-06-09,store_1,item_1,44,21.3,0,4,6,937.2,14.91,656.04,281.16,52,67,0
2023-06-10,store_1,item_1,41,21.3,0,5,6,873.3,14.91,611.31,261.99,44,64,1
2023-06-11,store_1,item_1,43,21.3,0,6,6,915.9,14.91,641.13,274.77,41,41,1
2023-06-13,store_1,item_1,61,21.3,0,1,6,1299.3,14.91,909.51,389.79,43,69,0
2023-06-14,store_1,item_1,62,21.3,0,2,6,1320.6,14.91,924.42,396.18,61,49,0
2023-06-15,store_1,item_1,55,21.3,0,3,6,1171.5,14.91,820.05,351.45,62,63,0
2023-06-16,store_1,item_1,67,17.04,1,4,6,1141.68,11.93,799.31,342.37,55,52,0
2023-06-18,store_1,item_1,47,21.3,0,6,6,1001.1,14.91,700.77,300.33,67,44,1
2023-06-19,store_1,item_1,49,21.3,0,0,6,1043.7,14.91,730.59,313.11,47,41,0
2023-06-20,store_1,item_1,56,21.3,0,1,6,1192.8,14.91,834.96,357.84,49,43,0
2023-06-21,store_1,item_1,61,21.3,0,2,6,1299.3,14.91,909.51,389.79,56,61,0
2023-06-23,store_1,item_1,44,21.3,0,4,6,937.2,14.91,656.04,281.16,61,62,0
2023-06-24,store_1,item_1,42,21.3,0,5,6,894.6,14.91,626.22,268.38,44,55,1
2023-06-25,store_1,item_1,35,21.3,0,6,6,745.5,14.91,521.85,223.65,42,67,1
2023-06-26,store_1,item_1,52,21.3,0,0,6,1107.6,14.91,775.32,332.28,35,47,0
2023-06-28,store_1,item_1,56,21.3,0,2,6,1192.8,14.91,834.96,357.84,52,49,0
2023-06-29,store_1,item_1,52,21.3,0,3,6,1107.6,14.91,775.32,332.28,56,56,0
2023-06-30,store_1,item_1,43,21.3,0,4,6,915.9,14.91,641.13,274.77,52,61,0
2023-07-01,store_1,item_1,33,21.3,0,5,7,702.9,14.91,492.03,210.87,43,44,1
2023-07-03,store_1,item_1,47,21.3,0,0,7,1001.1,14.91,700.77,300.33,33,42,0
2023-07-04,store_1,item_1,55,21.3,0,1,7,1171.5,14.91,820.05,351.45,47,35,0
2023-07-05,store_1,item_1,133,21.3,0,2,7,2832.9,14.91,1983.03,849.87,55,52,0
2023-07-06,store_1,item_1,47,21.3,0,3,7,1001.1,14.91,700.77,300.33,133,56,0
2023-07-08,store_1,item_1,36,21.3,0,5,7,766.8,14.91,536.76,230.04,47,52,1
2023-07-09,store_1,item_1,41,21.3,0,6,7,873.3,14.91,611.31,261.99,36,43,1
2023-07-10,store_1,item_1,39,21.3,0,0,7,830.7,14.91,581.49,249.21,41,33,0
2023-07-11,store_1,item_1,52,21.3,0,1,7,1107.6,14.91,775.32,332.28,39,47,0
2023-07-13,store_1,item_1,74,17.04,1,3,7,1260.96,11.93,882.82,378.14,52,55,0
2023-07-14,store_1,item_1,42,21.3,0,4,7,894.6,14.91,626.22,268.38,74,133,0
2023-07-15,store_1,item_1,51,17.04,1,5,7,869.04,11.93,608.43,260.61,42,47,1
2023-07-16,store_1,item_1,35,21.3,0,6,7,745.5,14.91,521.85,223.65,51,36,1
2023-07-18,store_1,item_1,47,21.3,0,1,7,1001.1,14.91,700.77,300.33,35,41,0
2023-07-19,store_1,item_1,54,21.3,0,2,7,1150.2,14.91,805.14,345.06,47,39,0
2023-07-20,store_1,item_1,45,21.3,0,3,7,958.5,14.91,670.95,287.55,54,52,0
2023-07-21,store_1,item_1,30,21.3,0,4,7,639.0,14.91,447.3,191.7,45,74,0
2023-07-23,store_1,item_1,32,21.3,0,6,7,681.6,14.91,477.12,204.48,30,42,1
2023-07-24,store_1,item_1,37,21.3,0,0,7,788.1,14.91,551.67,236.43,32,51,0
2023-07-25,store_1,item_1,45,21.3,0,1,7,958.5,14.91,670.95,287.55,37,35,0
2023-07-26,store_1,item_1,50,21.3,0,2,7,1065.0,14.91,745.5,319.5,45,47,0
2023-07-28,store_1,item_1,38,21.3,0,4,7,809.4,14.91,566.58,242.82,50,54,0
2023-07-29,store_1,item_1,31,21.3,0,5,7,660.3,14.91,462.21,198.09,38,45,1
2023-07-30,store_1,item_1,36,21.3,0,6,7,766.8,14.91,536.76,230.04,31,30,1
2023-07-31,store_1,item_1,39,21.3,0,0,7,830.7,14.91,581.49,249.21,36,32,0
2023-08-02,store_1,item_1,44,21.3,0,2,8,937.2,14.91,656.04,281.16,39,37,0
2023-08-03,store_1,item_1,38,21.3,0,3,8,809.4,14.91,566.58,242.82,44,45,0
2023-08-04,store_1,item_1,35,21.3,0,4,8,745.5,14.91,521.85,223.65,38,50,0
2023-08-05,store_1,item_1,32,21.3,0,5,8,681.6,14.91,477.12,204.48,35,38,1
2023-08-07,store_1,item_1,38,21.3,0,0,8,809.4,14.91,566.58,242.82,32,31,0
2023-08-08,store_1,item_1,42,21.3,0,1,8,894.6,14.91,626.22,268.38,38,36,0
2023-08-09,store_1,item_1,71,17.04,1,2,8,1209.84,11.93,847.03,362.81,42,39,0
2023-08-10,store_1,item_1,38,21.3,0,3,8,809.4,14.91,566.58,242.82,71,44,0
2023-08-12,store_1,item_1,28,21.3,0,5,8,596.4,14.91,417.48,178.92,38,38,1
2023-08-13,store_1,item_1,30,21.3,0,6,8,639.0,14.91,447.3,191.7,28,35,1
2023-08-14,store_1,item_1,33,21.3,0,0,8,702.9,14.91,492.03,210.87,30,32,0
2023-08-15,store_1,item_1,42,21.3,0,1,8,894.6,14.91,626.22,268.38,33,38,0
2023-08-17,store_1,item_1,42,21.3,0,3,8,894.6,14.91,626.22,268.38,42,42,0
2023-08-18,store_1,item_1,37,21.3,0,4,8,788.1,14.91,551.67,236.43,42,71,0
2023-08-19,store_1,item_1,31,21.3,0,5,8,660.3,14.91,462.21,198.09,37,38,1
2023-08-20,store_1,item_1,28,21.3,0,6,8,596.4,14.91,417.48,178.92,31,28,1
2023-08-22,store_1,item_1,40,21.3,0,1,8,852.0,14.91,596.4,255.6,28,30,0
2023-08-23,store_1,item_1,47,21.3,0,2,8,1001.1,14.91,700.77,300.33,40,33,0
2023-08-24,store_1,item_1,36,21.3,0,3,8,766.8,14.91,536.76,230.04,47,42,0
2023-08-25,store_1,item_1,36,21.3,0,4,8,766.8,14.91,536.76,230.04,36,42,0
2023-08-27,store_1,item_1,36,21.3,0,6,8,766.8,14.91,536.76,230.04,36,37,1
2023-08-28,store_1,item_1,52,17.04,1,0,8,886.08,11.93,620.36,265.72,36,31,0
2023-08-29,store_1,item_1,43,21.3,0,1,8,915.9,14.91,641.13,274.77,52,28,0
2023-08-30,store_1,item_1,49,21.3,0,2,8,1043.7,14.91,730.59,313.11,43,40,0
2023-09-01,store_1,item_1,27,21.3,0,4,9,575.1,14.91,402.57,172.53,49,47,0
2023-09-02,store_1,item_1,23,21.3,0,5,9,489.9,14.91,342.93,146.97,27,36,1
2023-09-03,store_1,item_1,32,21.3,0,6,9,681.6,14.91,477.12,204.48,23,36,1
2023-09-04,store_1,item_1,29,21.3,0,0,9,617.7,14.91,432.39,185.31,32,36,0
2023-09-06,store_1,item_1,43,21.3,0,2,9,915.9,14.91,641.13,274.77,29,52,0
2023-09-07,store_1,item_1,38,21.3,0,3,9,809.4,14.91,566.58,242.82,43,43,0
2023-09-08,store_1,item_1,33,21.3,0,4,9,702.9,14.91,492.03,210.87,38,49,0
2023-09-09,store_1,item_1,28,21.3,0,5,9,596.4,14.91,417.48,178.92,33,27,1
2023-09-11,store_1,item_1,31,21.3,0,0,9,660.3,14.91,462.21,198.09,28,23,0
2023-09-12,store_1,item_1,57,17.04,1,1,9,971.28,11.93,680.01,291.27,31,32,0
2023-09-13,store_1,item_1,38,21.3,0,2,9,809.4,14.91,566.58,242.82,57,29,0
2023-09-14,store_1,item_1,39,21.3,0,3,9,830.7,14.91,581.49,249.21,38,43,0
2023-09-16,store_1,item_1,29,21.3,0,5,9,617.7,14.91,432.39,185.31,39,38,1
2023-09-17,store_1,item_1,32,21.3,0,6,9,681.6,14.91,477.12,204.48,29,33,1
2023-09-18,store_1,item_1,30,21.3,0,0,9,639.0,14.91,447.3,191.7,32,28,0
2023-09-19,store_1,item_1,44,21.3,0,1,9,937.2,14.91,656.04,281.16,30,31,0
2023-09-21,store_1,item_1,39,21.3,0,3,9,830.7,14.91,581.49,249.21,44,57,0
2023-09-22,store_1,item_1,36,21.3,0,4,9,766.8,14.91,536.76,230.04,39,38,0
2023-09-23,store_1,item_1,22,21.3,0,5,9,468.6,14.91,328.02,140.58,36,39,1
2023-09-24,store_1,item_1,41,17.04,1,6,9,698.64,11.93,489.13,209.51,22,29,1
2023-09-26,store_1,item_1,41,21.3,0,1,9,873.3,14.91,611.31,261.99,41,32,0
2023-09-27,store_1,item_1,57,17.04,1,2,9,971.28,11.93,680.01,291.27,41,30,0
2023-09-28,store_1,item_1,39,21.3,0,3,9,830.7,14.91,581.49,249.21,57,44,0
2023-09-29,store_1,item_1,35,21.3,0,4,9,745.5,14.91,521.85,223.65,39,39,0
2023-10-01,store_1,item_1,29,21.3,0,6,10,617.7,14.91,432.39,185.31,35,36,1
2023-10-02,store_1,item_1,30,21.3,0,0,10,639.0,14.91,447.3,191.7,29,22,0
2023-10-03,store_1,item_1,36,21.3,0,1,10,766.8,14.91,536.76,230.04,30,41,0
2023-10-04,store_1,item_1,44,21.3,0,2,10,937.2,14.91,656.04,281.16,36,41,0
2023-10-06,store_1,item_1,30,21.3,0,4,10,639.0,14.91,447.3,191.7,44,57,0
2023-10-07,store_1,item_1,26,21.3,0,5,10,553.8,14.91,387.66,166.14,30,39,1
2023-10-08,store_1,item_1,22,21.3,0,6,10,468.6,14.91,328.02,140.58,26,35,1
2023-10-09,store_1,item_1,30,21.3,0,0,10,639.0,14.91,447.3,191.7,22,29,0
2023-10-11,store_1,item_1,56,17.04,1,2,10,954.24,11.93,668.08,286.16,30,30,0
2023-10-12,store_1,item_1,37,21.3,0,3,10,788.1,14.91,551.67,236.43,56,36,0
2023-10-13,store_1,item_1,34,21.3,0,4,10,724.2,14.91,506.94,217.26,37,44,0
2023-10-14,store_1,item_1,23,21.3,0,5,10,489.9,14.91,342.93,146.97,34,30,1
2023-10-16,store_1,item_1,37,21.3,0,0,10,788.1,14.91,551.67,236.43,23,26,0
2023-10-17,store_1,item_1,39,21.3,0,1,10,830.7,14.91,581.49,249.21,37,22,0
2023-10-18,store_1,item_1,49,21.3,0,2,10,1043.7,14.91,730.59,313.11,39,30,0
2023-10-19,store_1,item_1,32,21.3,0,3,10,681.6,14.91,477.12,204.48,49,56,0
2023-10-21,store_1,item_1,41,17.04,1,5,10,698.64,11.93,489.13,209.51,32,37,1
2023-10-22,store_1,item_1,31,21.3,0,6,10,660.3,14.91,462.21,198.09,41,34,1
2023-10-23,store_1,item_1,36,21.3,0,0,10,766.8,14.91,536.76,230.04,31,23,0
2023-10-24,store_1,item_1,38,21.3,0,1,10,809.4,14.91,566.58,242.82,36,37,0
2023-10-26,store_1,item_1,32,21.3,0,3,10,681.6,14.91,477.12,204.48,38,39,0
2023-10-27,store_1,item_1,34,21.3,0,4,10,724.2,14.91,506.94,217.26,32,49,0
2023-10-28,store_1,item_1,29,21.3,0,5,10,617.7,14.91,432.39,185.31,34,32,1
2023-10-29,store_1,item_1,32,21.3,0,6,10,681.6,14.91,477.12,204.48,29,41,1
2023-10-31,store_1,item_1,63,17.04,1,1,10,1073.52,11.93,751.59,321.93,32,31,0
2023-11-01,store_1,item_1,64,17.04,1,2,11,1090.56,11.93,763.52,327.04,63,36,0
2023-11-02,store_1,item_1,36,21.3,0,3,11,766.8,14.91,536.76,230.04,64,38,0
2023-11-03,store_1,item_1,31,21.3,0,4,11,660.3,14.91,462.21,198.09,36,32,0
2023-11-05,store_1,item_1,35,21.3,0,6,11,745.5,14.91,521.85,223.65,31,34,1
2023-11-06,store_1,item_1,36,21.3,0,0,11,766.8,14.91,536.76,230.04,35,29,0
2023-11-07,store_1,item_1,42,21.3,0,1,11,894.6,14.91,626.22,268.38,36,32,0
2023-11-08,store_1,item_1,41,21.3,0,2,11,873.3,14.91,611.31,261.99,42,63,0
2023-11-10,store_1,item_1,36,21.3,0,4,11,766.8,14.91,536.76,230.04,41,64,0
2023-11-11,store_1,item_1,36,21.3,0,5,11,766.8,14.91,536.76,230.04,36,36,1
2023-11-12,store_1,item_1,29,21.3,0,6,11,617.7,14.91,432.39,185.31,36,31,1
2023-11-13,store_1,item_1,36,21.3,0,0,11,766.8,14.91,536.76,230.04,29,35,0
2023-11-15,store_1,item_1,47,21.3,0,2,11,1001.1,14.91,700.77,300.33,36,36,0
2023-11-16,store_1,item_1,41,21.3,0,3,11,873.3,14.91,611.31,261.99,47,42,0
2023-11-17,store_1,item_1,32,21.3,0,4,11,681.6,14.91,477.12,204.48,41,41,0
2023-11-18,store_1,item_1,33,21.3,0,5,11,702.9,14.91,492.03,210.87,32,36,1
2023-11-20,store_1,item_1,36,21.3,0,0,11,766.8,14.91,536.76,230.04,33,36,0
2023-11-21,store_1,item_1,49,21.3,0,1,11,1043.7,14.91,730.59,313.11,36,29,0
2023-11-22,store_1,item_1,50,21.3,0,2,11,1065.0,14.91,745.5,319.5,49,36,0
2023-11-23,store_1,item_1,43,21.3,0,3,11,915.9,14.91,641.13,274.77,50,47,0
2023-11-25,store_1,item_1,50,17.04,1,5,11,852.0,11.93,596.5,255.5,43,41,1
2023-11-26,store_1,item_1,31,21.3,0,6,11,660.3,14.91,462.21,198.09,50,32,1
2023-11-27,store_1,item_1,40,21.3,0,0,11,852.0,14.91,596.4,255.6,31,33,0
2023-11-28,store_1,item_1,40,21.3,0,1,11,852.0,14.91,596.4,255.6,40,36,0
2023-11-30,store_1,item_1,40,21.3,0,3,11,852.0,14.91,596.4,255.6,40,49,0
2023-12-01,store_1,item_1,42,21.3,0,4,12,894.6,14.91,626.22,268.38,40,50,0
2023-12-02,store_1,item_1,32,21.3,0,5,12,681.6,14.91,477.12,204.48,42,43,1
2023-12-03,store_1,item_1,74,21.3,0,6,12,1576.2,14.91,1103.34,472.86,32,50,1
2023-12-05,store_1,item_1,48,21.3,0,1,12,1022.4,14.91,715.68,306.72,74,31,0
2023-12-06,store_1,item_1,55,21.3,0,2,12,1171.5,14.91,820.05,351.45,48,40,0
2023-12-07,store_1,item_1,39,21.3,0,3,12,830.7,14.91,581.49,249.21,55,40,0
2023-12-08,store_1,item_1,43,21.3,0,4,12,915.9,14.91,641.13,274.77,39,40,0
2023-12-10,store_1,item_1,33,21.3,0,6,12,702.9,14.91,492.03,210.87,43,42,1
2023-12-11,store_1,item_1,40,21.3,0,0,12,852.0,14.91,596.4,255.6,33,32,0
2023-12-12,store_1,item_1,80,17.04,1,1,12,1363.2,11.93,954.4,408.8,40,74,0
2023-12-13,store_1,item_1,49,21.3,0,2,12,1043.7,14.91,730.59,313.11,80,48,0
2023-12-15,store_1,item_1,44,21.3,0,4,12,937.2,14.91,656.04,281.16,49,55,0
